feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,label
0.5488135,0.71518934,0.60276335,0.5448832,0.4236548,0.6458941,0.4375872,0.891773,0.96366274,0.3834415,0.0
0.79172504,0.5288949,0.56804454,0.92559665,0.071036056,0.0871293,0.020218397,0.83261985,0.77815676,0.87001216,0.0
0.9786183,0.7991586,0.46147937,0.7805292,0.11827443,0.639921,0.14335328,0.9446689,0.5218483,0.41466194,1.0
0.2645556,0.7742337,0.45615032,0.56843394,0.0187898,0.6176355,0.6120957,0.616934,0.94374806,0.6818203,0.0
0.3595079,0.43703195,0.6976312,0.06022547,0.6667667,0.67063785,0.21038257,0.12892629,0.31542835,0.36371076,1.0
0.57019675,0.43860152,0.9883738,0.10204481,0.20887676,0.16130951,0.6531083,0.2532916,0.46631077,0.2444256,0.0
0.15896958,0.11037514,0.6563296,0.13818295,0.19658236,0.36872518,0.82099324,0.09710128,0.8379449,0.09609841,1.0
0.97645944,0.4686512,0.9767611,0.6048455,0.7392636,0.039187793,0.28280696,0.12019656,0.2961402,0.11872772,1.0
0.31798318,0.41426298,0.064147495,0.6924721,0.56660146,0.2653895,0.5232481,0.09394051,0.5759465,0.9292962,0.0
0.31856894,0.6674104,0.13179787,0.7163272,0.2894061,0.18319136,0.5865129,0.020107547,0.82894003,0.004695476,0.0
0.6778165,0.27000797,0.735194,0.96218854,0.24875315,0.57615733,0.5920419,0.5722519,0.22308163,0.952749,1.0
0.44712538,0.84640867,0.6994793,0.29743695,0.81379783,0.39650574,0.8811032,0.5812729,0.8817354,0.6925316,1.0
0.7252543,0.50132436,0.95608366,0.6439902,0.42385504,0.6063932,0.019193199,0.30157483,0.66017354,0.2900776,1.0
0.6180154,0.4287687,0.13547407,0.29828233,0.5699649,0.59087276,0.57432526,0.6532008,0.65210325,0.43141845,1.0
0.8965466,0.36756188,0.43586493,0.89192337,0.806194,0.7038886,0.10022689,0.9194826,0.7142413,0.998847,0.0
0.1494483,0.86812603,0.16249293,0.6155596,0.123819984,0.8480082,0.807319,0.56910074,0.4071833,0.069166996,0.0
0.69742876,0.45354268,0.7220556,0.8663823,0.9755215,0.8558034,0.011714084,0.35997805,0.72999054,0.17162968,0.0
0.5210366,0.05433799,0.19999653,0.018521795,0.7936977,0.22392468,0.34535167,0.9280813,0.7044144,0.03183893,1.0
0.16469416,0.6214784,0.5772286,0.23789282,0.934214,0.6139659,0.5356328,0.58991,0.730122,0.311945,0.0
0.39822108,0.20984375,0.186193,0.9443724,0.73955077,0.49045882,0.22741462,0.25435647,0.05802916,0.43441662,1.0
0.3117959,0.6963435,0.37775183,0.17960368,0.024678728,0.06724963,0.67939276,0.45369685,0.5365792,0.8966713,0.0
0.9903389,0.21689698,0.6630782,0.26332238,0.020651,0.7583786,0.32001716,0.3834639,0.5883171,0.8310484,0.0
0.6289818,0.8726507,0.27354205,0.7980468,0.18563594,0.95279163,0.68748826,0.21550767,0.9473706,0.7308558,0.0
0.25394166,0.21331197,0.5182007,0.025662718,0.20747007,0.42468548,0.37416998,0.46357542,0.27762872,0.58678436,1.0
0.8638556,0.11753186,0.5173791,0.13206811,0.7168597,0.3960597,0.5654213,0.18327984,0.14484777,0.48805627,0.0
0.35561273,0.94043195,0.76532525,0.7486636,0.9037197,0.08342244,0.55219245,0.58447605,0.96193635,0.29214752,1.0
0.24082878,0.10029394,0.01642963,0.9295293,0.66991657,0.7851529,0.28173012,0.58641016,0.06395527,0.4856276,1.0
0.97749513,0.87650526,0.33815897,0.96157014,0.23170163,0.9493188,0.9413777,0.79920256,0.6304479,0.87428796,1.0
0.29302028,0.84894353,0.6178767,0.013236858,0.3472335,0.14814086,0.9818294,0.4783703,0.49739137,0.63947254,0.0
0.3685846,0.13690028,0.82211775,0.18984792,0.511319,0.22431703,0.09784448,0.8621915,0.97291946,0.9608347,1.0
0.9065555,0.7740473,0.33314514,0.08110139,0.40724117,0.23223414,0.13248764,0.053427182,0.72559434,0.011427458,0.0
0.77058077,0.14694664,0.07952208,0.08960304,0.6720478,0.24536721,0.42053947,0.5573688,0.8605512,0.7270443,1.0
0.2703279,0.1314828,0.05537432,0.30159864,0.26211816,0.45614058,0.68328136,0.6956254,0.28351885,0.37992695,1.0
0.18115096,0.7885455,0.056848075,0.6969972,0.7786954,0.7774076,0.25942257,0.37381315,0.58759964,0.2728219,0.0
0.3708528,0.19705428,0.45985588,0.0446123,0.79979587,0.07695644,0.5188351,0.3068101,0.57754296,0.9594333,1.0
0.6455702,0.035362437,0.43040243,0.51001686,0.5361775,0.6813925,0.2775961,0.12886056,0.39267567,0.9564057,1.0
0.1871309,0.90398395,0.54380596,0.4569114,0.8820414,0.45860395,0.72416764,0.39902532,0.9040444,0.69002503,1.0
0.69962204,0.3277204,0.75677866,0.6360611,0.24002028,0.16053882,0.7963915,0.9591666,0.45813882,0.59098417,0.0
0.85772264,0.45722345,0.9518745,0.5757512,0.8207671,0.9088437,0.8155238,0.15941447,0.62889844,0.39843425,1.0
0.06271295,0.42403224,0.25868407,0.8490383,0.033304628,0.9589827,0.35536885,0.3567069,0.016328502,0.18523233,0.0
0.4012595,0.9292914,0.09961493,0.94530153,0.86948854,0.4541624,0.3267009,0.23274413,0.6144647,0.03307459,0.0
0.015606064,0.42879573,0.06807408,0.251941,0.22116092,0.2531912,0.13105524,0.012036223,0.1154843,0.61848027,1.0
0.9742562,0.990345,0.4090541,0.16295442,0.63876176,0.49030533,0.9894098,0.065304205,0.7832344,0.2883985,0.0
0.24141861,0.66250455,0.24606319,0.6658591,0.51730853,0.42408898,0.5546878,0.28705153,0.7065747,0.41485688,1.0
0.36054555,0.8286569,0.92496693,0.04600731,0.23262699,0.34851936,0.8149665,0.98549145,0.9689717,0.90494835,0.0
0.29655626,0.99201125,0.24942005,0.10590615,0.9509526,0.23342025,0.68976825,0.05835636,0.7307091,0.8817202,0.0
0.2724369,0.3790569,0.3742962,0.74878824,0.23780724,0.1718531,0.44929165,0.3044684,0.8391891,0.23774183,0.0
0.50238943,0.9425836,0.6339977,0.8672894,0.9402097,0.75076485,0.69957507,0.96796554,0.9944008,0.45182168,0.0
0.07086978,0.29279402,0.1523547,0.41748637,0.13128933,0.6041178,0.38280806,0.89538586,0.96779466,0.5468849,0.0
0.27482358,0.59223044,0.8967612,0.40673333,0.55207825,0.27165276,0.45544416,0.40171355,0.24841346,0.5058664,1.0
0.31038082,0.37303486,0.5249705,0.75059503,0.33350748,0.92415875,0.8623186,0.048690297,0.25364253,0.44613552,1.0
0.10462789,0.348476,0.7400975,0.68051445,0.6223844,0.7105284,0.20492369,0.3416981,0.6762425,0.8792348,0.0
0.54367805,0.28269964,0.030235259,0.7103368,0.007884104,0.37267908,0.5305372,0.92211145,0.08949455,0.40594232,0.0
0.0243132,0.34261099,0.62223107,0.27906793,0.20974995,0.11570323,0.5771403,0.69527,0.67195714,0.948861,0.0
0.0027032138,0.64719665,0.6003922,0.58873963,0.96277034,0.016871674,0.6964824,0.8136786,0.50980717,0.33396488,0.0
0.79084015,0.09724293,0.44203565,0.51995236,0.69395643,0.09088573,0.2277595,0.41030157,0.62329465,0.8869608,1.0
0.61882615,0.13346148,0.98058015,0.87178576,0.5027208,0.92234796,0.5413808,0.92330605,0.82989734,0.9682864,0.0
0.9197828,0.036033817,0.17477201,0.38913468,0.9521427,0.30002892,0.16046764,0.8863047,0.4463944,0.9078756,0.0
0.16023047,0.6611175,0.44026375,0.07648677,0.69646317,0.24739875,0.039615523,0.059944298,0.061078537,0.90773296,0.0
0.7398839,0.89806235,0.6725823,0.5289399,0.30444637,0.99796224,0.36218905,0.47064894,0.37824517,0.97952694,1.0
0.17465839,0.327988,0.6803487,0.06320762,0.6072494,0.4776465,0.28399998,0.23841327,0.5145127,0.36792758,0.0
0.4565199,0.3374774,0.9704937,0.13343944,0.096803956,0.34339172,0.5910269,0.65917647,0.39725676,0.999278,1.0
0.351893,0.72140664,0.6375827,0.81305385,0.9762257,0.88979363,0.76456195,0.6982485,0.33549818,0.14768557,1.0
0.062636,0.24190171,0.4322815,0.52199626,0.77308357,0.95874095,0.11732048,0.10700414,0.58969474,0.74539804,0.0
0.8481504,0.9358321,0.9834262,0.3998017,0.38033518,0.14780867,0.68493444,0.65676194,0.8620626,0.097257994,0.0
0.4977769,0.5810819,0.24155705,0.1690254,0.8595808,0.058534924,0.4706209,0.115834,0.45705876,0.97996235,1.0
0.42370635,0.8571249,0.11731556,0.27125207,0.40379274,0.39981213,0.6713835,0.34471813,0.7137669,0.6391869,1.0
0.39916116,0.43176013,0.6145277,0.07004219,0.8224067,0.65342116,0.72634244,0.536923,0.11047711,0.40503561,0.0
0.40537357,0.32104298,0.029950324,0.73725426,0.10978446,0.60630816,0.7032175,0.6347863,0.95914227,0.10329816,0.0
0.8671672,0.029190235,0.5349169,0.40424362,0.52418387,0.36509988,0.19056691,0.019122897,0.5181498,0.84277683,0.0
0.37321594,0.22286382,0.08053201,0.08531092,0.22139645,0.10001406,0.2650397,0.066149466,0.065604866,0.85627615,0.0
0.16212027,0.5596824,0.77345556,0.45640957,0.15336888,0.19959614,0.4329842,0.52823406,0.3494403,0.7814796,0.0
0.7510216,0.9272118,0.028952548,0.8956913,0.3925688,0.8783725,0.69078475,0.98734874,0.75928247,0.36454463,0.0
0.50106317,0.37638915,0.36491182,0.2609045,0.4959703,0.6817399,0.27734026,0.5243798,0.11738029,0.1598453,1.0
0.046806354,0.97073144,0.0038603514,0.17857997,0.61286676,0.0813696,0.8818965,0.71962017,0.96638995,0.50763553,1.0
0.30040368,0.5495006,0.93081874,0.52076143,0.26720703,0.8773988,0.37191874,0.00138335,0.24768502,0.31823352,0.0
0.85877746,0.45850316,0.4445873,0.33610228,0.8806781,0.94502676,0.9918903,0.37674126,0.9661474,0.7918796,0.0
0.67568916,0.24488948,0.21645726,0.16604783,0.9227566,0.29407665,0.45309424,0.49395785,0.7781716,0.84423494,0.0
0.1390727,0.42690435,0.8428549,0.8180333,0.10241376,0.15638335,0.30419868,0.07535907,0.424663,0.107617706,1.0
0.5682176,0.24655694,0.59643304,0.117525645,0.97588384,0.9325612,0.39179695,0.24217859,0.25039822,0.48339355,0.0
0.0399928,0.6397051,0.4083029,0.37740657,0.809365,0.70903546,0.95433384,0.35193625,0.8975428,0.7699672,1.0
0.35742465,0.6216654,0.28856996,0.8743999,0.11242732,0.21243437,0.18303329,0.403026,0.74523294,0.52690744,0.0
0.48767632,0.0005459649,0.42540172,0.06355377,0.20825325,0.93239397,0.2153982,0.85833764,0.8028934,0.15914623,0.0
0.60571194,0.115661874,0.72788817,0.63746226,0.8119386,0.47938454,0.9148631,0.049348947,0.29288855,0.7150526,1.0
0.4181092,0.17295136,0.10721075,0.8173391,0.47314298,0.8822837,0.7332891,0.4097262,0.37351102,0.51563835,0.0
0.88905996,0.7372786,0.0051529645,0.69415784,0.9195074,0.7104558,0.17700578,0.48351812,0.14031602,0.3589953,1.0
0.93711704,0.92330533,0.28283685,0.33963105,0.6002129,0.9631973,0.14780134,0.25691664,0.87355685,0.49189222,1.0
0.89896107,0.18551789,0.5326686,0.32626963,0.31654257,0.44687697,0.43307745,0.3573469,0.91497076,0.73174417,1.0
0.727547,0.28991345,0.57770944,0.77917945,0.79559034,0.34453046,0.7708728,0.7358939,0.14150648,0.86594546,1.0
0.44132146,0.48641044,0.44836918,0.567846,0.62116927,0.49817955,0.86678857,0.6277348,0.40142795,0.41669175,0.0
0.81083864,0.34819195,0.2114548,0.059383187,0.87602687,0.91854644,0.12012018,0.33447373,0.17537206,0.11589847,1.0
0.89986676,0.05687726,0.9804857,0.09645086,0.8634707,0.5665061,0.36791748,0.34234238,0.75736415,0.3145733,0.0
0.6573189,0.51732606,0.48496565,0.90116215,0.55464506,0.8268616,0.72557354,0.038557246,0.77311003,0.21687025,0.0
0.90314966,0.04292419,0.33307204,0.09973295,0.47558913,0.82002246,0.29818735,0.15093489,0.33026704,0.81388015,0.0
0.14038396,0.22736245,0.06885196,0.70571005,0.39523324,0.31083998,0.7186264,0.33597755,0.7277713,0.8151994,0.0
0.21766284,0.9738187,0.16235794,0.2908409,0.1797953,0.34550565,0.48006088,0.52217585,0.85360605,0.8894479,0.0
0.22010386,0.62289405,0.11149605,0.45896986,0.32233354,0.31650075,0.48258424,0.72982764,0.06918266,0.87917334,1.0
0.73481375,0.17649938,0.9391609,0.50631225,0.99980855,0.19725947,0.5349082,0.29024804,0.30417356,0.5910654,0.0
0.9217191,0.8052639,0.7239414,0.55917376,0.9222985,0.4923614,0.87383217,0.83398163,0.21383534,0.77122545,0.0
0.012171157,0.32282954,0.22956744,0.50686294,0.7368532,0.09767637,0.5149222,0.938412,0.22864655,0.67714113,0.0
0.59288025,0.010063696,0.4758262,0.7087704,0.04397543,0.8795215,0.5200814,0.030661048,0.22441362,0.9536757,1.0
0.58231974,0.10747257,0.2875445,0.45670363,0.02095007,0.41161552,0.48945862,0.24367787,0.588639,0.7532401,1.0
0.23583423,0.6204999,0.6396223,0.94854033,0.77827615,0.8483453,0.4904199,0.18534859,0.9958153,0.12935576,1.0
0.47145733,0.0680931,0.9438509,0.96492493,0.7193891,0.34999284,0.2543824,0.2653033,0.12729402,0.52580893,1.0
0.14181727,0.31673068,0.6267065,0.7275436,0.024272704,0.430116,0.6521246,0.853246,0.47532478,0.96920586,1.0
0.26563254,0.013508706,0.48375288,0.2561138,0.82371765,0.23277268,0.31062922,0.79122746,0.71514326,0.5580512,1.0
0.70494807,0.41863686,0.0053100474,0.011355128,0.51122177,0.08329098,0.05107548,0.9655166,0.85900265,0.15202723,0.0
0.00066421856,0.9416678,0.2783253,0.1858976,0.6915081,0.108903736,0.2646496,0.9750947,0.63946277,0.5206778,1.0
0.3979186,0.77450097,0.14095747,0.9673378,0.861123,0.617657,0.04290619,0.7008557,0.91328436,0.5245771,0.0
0.35422483,0.120277345,0.7549011,0.88502187,0.10025174,0.75898457,0.017060487,0.9670549,0.615058,0.55243903,0.0
0.29594985,0.92929167,0.26590562,0.82814664,0.9851087,0.78339666,0.5189899,0.06607427,0.47241378,0.43825594,0.0
0.20279604,0.42358765,0.3577579,0.16368426,0.44137415,0.26279995,0.5220624,0.03516006,0.9062314,0.8163643,0.0
0.5525813,0.8518086,0.9623951,0.11052229,0.63083184,0.997994,0.9878892,0.603323,0.12802087,0.5831928,1.0
0.0020646355,0.19891134,0.9561232,0.33044058,0.6383901,0.2808595,0.9478219,0.7285587,0.32965115,0.7917614,0.0
0.108165525,0.39231893,0.22121812,0.68372643,0.10244628,0.39702582,0.27664974,0.50634295,0.34989768,0.7064106,1.0
0.024577023,0.63398695,0.23057128,0.26870903,0.8002556,0.9555684,0.3165502,0.8268053,0.10399084,0.63398165,1.0
0.7510323,0.15597793,0.42600238,0.89270717,0.10357846,0.018096358,0.59058535,0.43553153,0.79868925,0.92345554,1.0
0.29915366,0.38840413,0.4862721,0.58815145,0.9838538,0.69733024,0.3895485,0.2637677,0.94462574,0.13554843,0.0
0.72026587,0.925395,0.6646656,0.42305443,0.19899094,0.36747533,0.7068718,0.6495342,0.9279762,0.8668609,0.0
0.8161507,0.91145086,0.27633715,0.36952356,0.3798939,0.5604506,0.66821826,0.28671667,0.019462468,0.39922237,1.0
0.30852795,0.94218475,0.888265,0.8603107,0.65299976,0.34428915,0.5488493,0.81522506,0.09861037,0.80107486,1.0
0.04117979,0.81642103,0.8075638,0.051007308,0.6271607,0.5024531,0.1698195,0.14837894,0.7732591,0.56769276,0.0
